,noise,name,dotted_val,striped_val,zigzagged_val,dotted_std,striped_std,zigzagged_std
0,00,-,0.09333333333333334,0.40981481481481474,0.15499999999999997,0.03291394456461642,0.03980735587316691,0.03379499430029293
1,10,-,0.14722222222222223,0.4838888888888888,0.09703703703703703,0.07826446087601796,0.04453367879908152,0.025707280893629864
2,20,-,0.14055555555555557,0.32425925925925925,0.12833333333333333,0.06725410951284706,0.01787533730693566,0.045787086038220765
3,30,-,0.08888888888888889,0.4859259259259259,0.18962962962962965,0.03575810636970787,0.03802753446970381,0.05729468702144483
4,40,-,0.08240740740740742,0.2285185185185185,0.1562962962962963,0.030278312273797816,0.022295863503820356,0.062343749783776645
5,50,-,0.0638888888888889,0.16166666666666668,0.09333333333333332,0.02270984452473459,0.017041900945162898,0.034526373099651855
6,60,-,0.07018518518518518,0.12055555555555558,0.06666666666666665,0.05123473462232063,0.040196436342185116,0.03941215726516065
7,70,-,0.04462962962962964,0.059814814814814814,0.0725925925925926,0.03307295349585594,0.02995832267415891,0.0563085607767902
8,80,-,0.05129629629629629,0.0525925925925926,0.027592592592592596,0.033270386172946004,0.03883063027916706,0.015665281798970067
9,90,-,0.07,0.02611111111111111,0.022962962962962963,0.07487114626165611,0.022509960906445164,0.012130559411948327
10,100,-,0.010555555555555554,0.03370370370370371,0.018333333333333333,0.0038348679507166123,0.02281798052106486,0.01483857697898833
